Contig	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
BM1_k141_1000000	0	0	0	0	0	0	0	0	0	0	0	0	32	93	16	18	0	0	0	0	0
BM1_k141_1000128	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
BM1_k141_1000189	0	0	0	0	0	0	0	0	0	0	0	0	89	15	120	38	25	0	0	0	0
BM1_k141_1000327	0	0	0	0	0	0	0	0	0	0	0	0	36	45	0	0	0	0	0	0	0
BM1_k141_1000639	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
BM1_k141_1000643	0	0	0	0	0	0	0	0	0	0	0	0	43	0	14	0	0	0	0	0	0
BM1_k141_1000957	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0
BM1_k141_1001749	0	0	0	0	0	0	0	0	0	0	0	0	41	0	35	0	0	0	0	0	0
BM1_k141_1001888	0	0	0	0	0	0	0	0	0	0	0	0	20	0	2	5	0	0	0	0	0
BM1_k141_1001950	0	0	0	0	0	0	0	0	0	0	0	0	16	3	9	0	0	0	0	0	0
BM1_k141_1002074	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
BM1_k141_1002657	0	0	0	0	0	0	0	0	0	0	0	0	16	0	18	5	1	0	0	0	0
BM1_k141_1002784	0	0	0	0	0	0	0	0	0	0	0	0	73	61	33	60	0	0	0	0	0
BM1_k141_1002824	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0
BM1_k141_1003011	0	0	0	0	0	0	0	0	0	0	0	0	51	2	24	0	0	0	0	0	0
BM1_k141_1003135	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0
BM1_k141_10036	0	0	0	0	0	0	0	0	0	0	0	0	14	0	18	2	0	0	0	0	0
BM1_k141_1003879	0	0	0	0	0	0	0	0	0	0	0	0	14	7	2	6	0	0	0	0	0
BM1_k141_1003884	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
BM1_k141_1004550	0	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0
BM1_k141_1004571	0	0	0	0	0	0	0	0	0	0	0	0	218	159	27	26	0	0	0	0	0
BM1_k141_1004726	0	0	0	0	0	0	0	0	0	0	0	0	18	0	17	54	0	0	0	0	0
BM1_k141_1004766	0	0	0	0	0	0	0	0	0	0	0	0	11	0	9	2	0	0	0	0	0
BM1_k141_1005080	0	0	0	0	0	0	0	0	0	0	0	0	270	186	140	37	0	0	0	0	0
BM1_k141_1005501	0	0	0	0	0	0	0	0	0	0	0	0	26	0	13	3	0	0	0	3	0
BM1_k141_1005538	0	0	0	0	0	0	0	0	0	0	0	0	353	315	7	0	0	0	0	0	0
BM1_k141_1005607	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
BM1_k141_100585	0	0	0	0	0	0	0	0	0	0	0	0	39	0	20	39	0	0	0	0	0
BM1_k141_1006096	0	0	0	0	0	0	0	0	0	0	0	0	47	30	0	0	0	0	0	0	0
BM1_k141_1006233	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0
BM1_k141_1006291	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	0	0	0	0	0
BM1_k141_100630	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0
BM1_k141_1006373	0	0	0	0	0	0	0	0	0	0	0	0	10	6	12	2	0	0	0	0	0
BM1_k141_1006520	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0
BM1_k141_1006578	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
BM1_k141_1006596	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	1	0	0	0	0	0
BM1_k141_1006813	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
BM1_k141_1007163	0	0	0	0	0	0	0	0	0	0	0	0	8	0	6	1	0	0	0	0	0
BM1_k141_1007236	0	0	0	0	0	0	0	0	0	0	0	0	25	0	70	14	0	0	0	0	0
BM1_k141_1007274	0	0	0	0	0	0	0	0	0	0	0	0	34	6	2	0	0	0	0	0	0
BM1_k141_1007743	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
BM1_k141_1008007	0	0	0	0	0	0	0	0	0	0	0	0	16	38	2	2	0	0	0	0	0
BM1_k141_1008044	0	0	0	0	0	0	0	0	0	0	0	0	24	9	6	1	0	0	0	0	0
