EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
EFP1	0	0.575477974864784	0.670953398906998	0.658125843558414	0.881549686485368	0.885083699249388	0.89105373472912	0.904089119320142	0.742663053173904	0.748168202988154	0.820181558726032	0.794006644400593	0.998898248257967	0.999360419640175	0.999335265436556	0.999372066636574	0.999520631396299	0.999246264173979	0.99894818666195	0.998911666262426	0.999950552979412
EFP2	0.575477974864784	0	0.537685106747166	0.46419260037793	0.825558975155207	0.815000692575327	0.844337318652576	0.868826698359174	0.683077000071992	0.694421793680594	0.782956650596171	0.737310734016018	0.998896685252177	0.999402362421211	0.999371107204302	0.999269330476975	0.99913027278251	0.998819600030428	0.998955538789047	0.998965759594288	0.999842733034594
EFP3	0.670953398906998	0.537685106747166	0	0.552516854208351	0.83830610178054	0.836554795251963	0.850311175762279	0.874129087364531	0.642744125743406	0.634715039757775	0.741319788908586	0.702071261018803	0.998885106888718	0.999391851298811	0.999290306617043	0.999311505961471	0.999144414302665	0.998619369442104	0.998395438385205	0.99853058290753	0.999927040267721
EFP4	0.658125843558414	0.46419260037793	0.552516854208351	0	0.804080904950794	0.785828996114697	0.835034587156099	0.867578569966402	0.688502286288516	0.703623539656979	0.781373976758765	0.740839543820585	0.999080784650716	0.999478074784665	0.999356908145668	0.999354260950013	0.999323717024611	0.999144178220997	0.999287657418517	0.999290733592668	0.999923594625605
EK1	0.881549686485368	0.825558975155207	0.83830610178054	0.804080904950794	0	0.543190939491565	0.591918911491577	0.658461176555479	0.871664688461917	0.871861534927761	0.903438095840673	0.874341166592217	0.999106723614294	0.999599610796042	0.999095977604957	0.998958304287005	0.999357487473011	0.999274330256118	0.998735981228561	0.99877543449122	0.999801385958785
EK2	0.885083699249388	0.815000692575327	0.836554795251963	0.785828996114697	0.543190939491565	0	0.590538659145697	0.706027159118955	0.878687195636936	0.874156695716891	0.906425440683358	0.875255981104532	0.999123207422998	0.999568934121795	0.999092563441945	0.998888131695664	0.999352051170403	0.999296370604052	0.998701589338181	0.998651070686252	0.999889086978081
EK3	0.89105373472912	0.844337318652576	0.850311175762279	0.835034587156099	0.591918911491577	0.590538659145697	0	0.519618864934973	0.889118000617043	0.886207295824399	0.916077612007657	0.893744273979609	0.999094668402687	0.999593835339673	0.999043239497681	0.998788051151884	0.999400753933988	0.999283600223474	0.998691629992062	0.998698497947732	0.999885514046802
EK4	0.904089119320142	0.868826698359174	0.874129087364531	0.867578569966402	0.658461176555479	0.706027159118955	0.519618864934973	0	0.905473575068553	0.901559376325622	0.927628650742617	0.912390922498066	0.999236331518905	0.999556180009116	0.999098300809376	0.998955755374302	0.999468791316568	0.999366697770955	0.999247484222501	0.999210807282892	0.999688681729424
EHH1	0.742663053173904	0.683077000071992	0.642744125743406	0.688502286288516	0.871664688461917	0.878687195636936	0.889118000617043	0.905473575068553	0	0.483392416657042	0.594314702264467	0.561638751064689	0.999063366776072	0.999427041361431	0.999415773800869	0.99944047672902	0.998776787415024	0.997752739765224	0.998702182356311	0.998807058450738	0.999870426802763
EHH2	0.748168202988154	0.694421793680594	0.634715039757775	0.703623539656979	0.871861534927761	0.874156695716891	0.886207295824399	0.901559376325622	0.483392416657042	0	0.521925316639698	0.555553825580683	0.9992201368768	0.999688681854502	0.999597036969193	0.999542185173019	0.999557093621092	0.999230148254347	0.999049365849943	0.998917505541012	0.999879090844292
