Contig	GS	EFP	BM	GN	EK	EHH
BM1_k141_1000000	0	0	1	0	0	0
BM1_k141_1000128	0	0	1	0	0	0
BM1_k141_1000189	0	0	1	0	0	0
BM1_k141_1000327	0	0	1	0	0	0
BM1_k141_1000639	0	0	1	0	0	0
BM1_k141_1000643	0	0	1	0	0	0
BM1_k141_1000957	0	0	1	0	0	0
BM1_k141_1001749	0	0	1	0	0	0
BM1_k141_1001888	0	0	1	0	0	0
BM1_k141_1001950	0	0	1	0	0	0
BM1_k141_1002074	0	0	0	0	0	0
BM1_k141_1002657	0	0	1	0	0	0
BM1_k141_1002784	0	0	1	0	0	0
BM1_k141_1002824	0	0	1	0	0	0
BM1_k141_1003011	0	0	1	0	0	0
BM1_k141_1003135	0	0	1	0	0	0
BM1_k141_10036	0	0	1	0	0	0
BM1_k141_1003879	0	0	1	0	0	0
BM1_k141_1003884	0	0	1	0	0	0
BM1_k141_1004550	0	0	1	0	0	0
BM1_k141_1004571	0	0	1	0	0	0
BM1_k141_1004726	0	0	1	0	0	0
BM1_k141_1004766	0	0	1	0	0	0
BM1_k141_1005080	0	0	1	0	0	0
BM1_k141_1005501	0	0	1	0	0	0
BM1_k141_1005538	0	0	1	0	0	0
BM1_k141_1005607	0	0	1	0	0	0
BM1_k141_100585	0	0	1	0	0	0
BM1_k141_1006096	0	0	1	0	0	0
BM1_k141_1006233	0	0	1	0	0	0
BM1_k141_1006291	0	0	0	0	0	0
BM1_k141_100630	0	0	1	0	0	0
BM1_k141_1006373	0	0	1	0	0	0
BM1_k141_1006520	0	0	1	0	0	0
BM1_k141_1006578	0	0	1	0	0	0
BM1_k141_1006596	0	0	1	0	0	0
BM1_k141_1006813	0	0	1	0	0	0
BM1_k141_1007163	0	0	1	0	0	0
BM1_k141_1007236	0	0	1	0	0	0
BM1_k141_1007274	0	0	1	0	0	0
BM1_k141_1007743	0	0	1	0	0	0
BM1_k141_1008007	0	0	1	0	0	0
BM1_k141_1008044	0	0	1	0	0	0
BM1_k141_1008114	0	0	1	0	0	0
BM1_k141_1008247	0	0	1	0	0	0
BM1_k141_1008272	0	0	1	0	0	0
BM1_k141_100835	0	0	1	0	0	0
BM1_k141_1008407	0	0	1	0	0	0
BM1_k141_1008409	0	0	1	0	0	0
BM1_k141_1008536	0	0	1	0	0	0
BM1_k141_1008590	0	0	1	0	0	0
BM1_k141_1008805	0	0	1	0	0	0
BM1_k141_100882	0	0	1	0	0	0
BM1_k141_1008925	0	0	1	0	0	0
BM1_k141_1009087	0	0	1	0	0	0
BM1_k141_1009091	0	0	1	0	0	0
BM1_k141_1009183	0	0	1	0	0	0
BM1_k141_1009351	0	0	1	0	0	0
BM1_k141_1009396	0	0	1	0	0	0
BM1_k141_1009546	0	0	1	0	0	0
BM1_k141_1009689	0	0	1	0	0	0
BM1_k141_1009696	0	0	1	0	0	0
BM1_k141_10101	0	0	1	0	0	0
BM1_k141_1010293	0	0	1	0	0	0
BM1_k141_1010415	0	0	1	0	0	0
BM1_k141_1010512	0	0	1	0	0	0
BM1_k141_1010535	0	0	1	0	0	0
BM1_k141_1010604	0	0	1	0	0	0
BM1_k141_1010780	0	0	1	0	0	0
BM1_k141_1010863	0	0	1	0	0	0
BM1_k141_101088	0	0	1	0	0	0
BM1_k141_1011000	0	0	1	0	0	0
BM1_k141_1011108	0	0	1	0	0	0
BM1_k141_1011476	0	0	1	0	0	0
BM1_k141_1011658	0	0	1	0	0	0
BM1_k141_1011865	0	0	1	0	0	0
BM1_k141_1011914	0	0	1	0	0	0
BM1_k141_1011979	0	0	1	0	0	0
BM1_k141_101201	0	0	1	0	0	0
BM1_k141_10121	0	0	1	0	0	0
BM1_k141_1012160	0	0	1	0	0	0
BM1_k141_1012176	0	0	1	0	0	0
BM1_k141_101332	0	0	1	0	0	0
BM1_k141_101339	0	0	1	0	0	0
BM1_k141_1013989	0	0	1	0	0	0
BM1_k141_10140	0	0	1	0	0	0
BM1_k141_101424	0	0	0	0	0	0
BM1_k141_1014243	0	0	1	0	0	0
BM1_k141_1014380	0	0	1	0	0	0
BM1_k141_1014417	0	0	1	0	0	0
BM1_k141_1014444	0	0	1	0	0	0
BM1_k141_1014487	0	0	1	0	0	0
BM1_k141_1014492	0	0	1	0	0	0
BM1_k141_1014561	0	0	1	0	0	0
BM1_k141_1014562	0	0	1	0	0	0
BM1_k141_1015020	0	0	1	0	0	0
BM1_k141_1015072	0	0	1	0	0	0
BM1_k141_1015130	0	0	1	0	0	0
BM1_k141_1015858	0	0	1	0	0	0
BM1_k141_1015960	0	0	1	0	0	0
BM1_k141_1015976	0	0	1	0	0	0
BM1_k141_1016247	0	0	1	0	0	0
BM1_k141_1016298	0	0	1	0	0	0
BM1_k141_1016303	0	0	1	0	0	0
BM1_k141_1016549	0	0	1	0	0	0
BM1_k141_1016587	0	0	1	0	0	0
BM1_k141_101668	0	0	1	0	0	0
BM1_k141_1016799	0	0	1	0	0	0
BM1_k141_1016998	0	0	1	0	0	0
BM1_k141_1017134	0	0	1	0	0	0
BM1_k141_1017281	0	0	1	0	0	0
BM1_k141_1017343	0	0	1	0	0	0
BM1_k141_1017563	0	0	1	0	0	0
BM1_k141_1017691	0	0	1	0	0	0
BM1_k141_1017763	0	0	1	0	0	0
BM1_k141_1018113	0	0	1	0	0	0
BM1_k141_1018236	0	0	1	0	0	0
BM1_k141_1018253	0	0	1	0	0	0
BM1_k141_1018450	0	0	1	0	0	0
BM1_k141_101846	0	0	1	0	0	0
BM1_k141_1018498	0	0	0	0	0	0
BM1_k141_1018861	0	0	1	0	0	0
BM1_k141_1019609	0	0	1	0	0	0
BM1_k141_1019616	0	0	1	0	0	0
BM1_k141_1019785	0	0	1	0	0	0
BM1_k141_1020078	0	0	1	0	0	0
BM1_k141_1020112	0	0	1	0	0	0
BM1_k141_1020246	0	0	1	0	0	0
BM1_k141_1020281	0	0	1	0	0	0
BM1_k141_1020368	0	0	1	0	0	0
BM1_k141_1020471	0	0	0	0	0	0
BM1_k141_1020495	0	0	1	0	0	0
BM1_k141_1020557	0	0	1	0	0	0
BM1_k141_1020596	0	0	1	0	0	0
BM1_k141_1020858	0	0	1	0	0	0
BM1_k141_1020924	0	0	1	0	0	0
BM1_k141_1021155	0	0	1	0	0	0
BM1_k141_102118	0	0	1	0	0	0
BM1_k141_1021227	0	0	1	0	0	0
BM1_k141_1021298	0	0	1	0	0	0
BM1_k141_1021354	0	0	1	0	0	0
BM1_k141_1021389	0	0	1	0	0	0
