clade_name	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
Bacteroidota	81.05051	60.57356	62.54896	56.8707	69.93892	54.2035	79.23826	79.35121	70.28258	90.83487	79.7238	87.59688	58.84413	57.5981	64.71621	67.361	73.03874	51.26187	64.26222	72.38901	0.25416
Actinomycetota	1.12779	4.35715	8.09366	6.77402	0.24319	0.03848	0.0	0.0	5.1837	0.10335	0.12305	0.09808	12.16484	22.95833	10.97391	3.05486	0.55021	3.08046	0.85661	0.19321	0.00642
Firmicutes	0.78959	3.03636	2.83765	1.29317	3.69938	3.26916	0.50827	1.60053	0.8924	0.55214	2.71977	0.15022	8.70096	6.81444	6.13371	11.45262	6.81819	18.63802	13.60957	11.51201	0.23573
Lentisphaerota	5.70173	10.66129	8.89001	21.27799	13.82253	23.84602	10.82476	6.2465	2.97429	3.55538	4.99979	4.19903	6.25384	1.96492	5.04764	7.88804	2.72977	0.67327	1.20042	2.41224	0.0
Verrucomicrobiota	0.318	4.58128	1.86606	5.21218	2.73287	15.17036	1.43884	5.75639	3.84852	0.28727	0.39065	1.80999	6.03078	6.84811	7.8046	4.12426	6.21532	22.14094	8.45513	1.43389	0.0
Kiritimatiellota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.49137	0.49407	0.11035	1.6306	0.0	0.0	0.0	0.0	0.0
Chloroflexota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15064	0.72893	1.09214	1.01479	0.37906	0.77409	2.61774	0.70872	0.0
Pseudomonadota	1.62739	0.55067	1.52655	0.66418	5.96237	0.22978	1.02517	1.41662	13.74846	0.79032	7.84824	1.03475	0.73628	1.07657	1.51272	0.33395	8.33433	1.38155	4.57108	4.81176	92.98414
Spirochaetota	0.74154	3.49448	2.90695	4.45578	0.54254	0.33431	1.61464	0.55708	0.46327	1.21668	0.51626	0.11024	0.72355	0.72685	1.62863	0.73562	0.05567	0.0	0.0	0.00726	0.0
Thermoplasmatota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48523	0.19919	0.57694	1.77489	1.0141	0.19423	1.15727	2.22277	0.0
Methanobacteriota	6.95727	5.03348	10.5524	2.06521	2.79757	2.36494	4.2196	4.37973	2.57769	2.25048	2.30553	4.88038	0.22228	0.07578	0.20279	0.4547	0.48289	0.30914	0.58041	1.88523	0.0
Planctomycetota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07684	0.20611	0.05635	0.06455	0.13782	0.52583	0.23453	0.23263	0.0
Elusimicrobiota	1.45829	6.5742	0.05946	1.27235	0.07944	0.09062	0.14721	0.0232	0.0	0.0	0.0	0.01622	0.05105	0.1277	0.05931	0.01999	0.0	0.00333	0.00802	0.23854	0.0
Thermodesulfobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02887	0.01614	0.01744	0.02911	0.15904	0.99409	0.5218	1.94619	0.0
Candidatus_Saccharibacteria	0.15613	0.09408	0.0	0.0	0.096	0.01846	0.06499	0.17663	0.0239	0.36151	1.36726	0.10421	0.01463	0.14396	0.0202	0.01788	0.0	0.0	0.0	0.0	0.0
Fibrobacterota	0.02631	1.02345	0.69718	0.11441	0.07655	0.43437	0.91826	0.42223	0.00518	0.0379	0.00566	0.0	0.01118	0.0	0.04432	0.0	0.0	0.0	0.0	0.0	0.0
Synergistota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01077	0.00018	0.00195	0.00978	0.0	0.0	0.0	0.0	0.0
Candidatus_Melainabacteria	0.04543	0.02	0.00846	0.0	0.00865	0.0	0.0	0.0	0.0	0.01009	0.0	0.0	0.00275	0.02064	0.00053	0.02915	0.08487	0.02311	0.01901	0.00653	0.0
Mycoplasmatota	0.0	0.0	0.01266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00025	0.00421	0.0	7e-05	0.0	0.0	0.0
Cyanobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01732
Campylobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.90619	0.0	6.44825
Acidobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01985
Fusobacteriota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01809
Myxococcota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01603
