	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
EFP1	0	0.457959768	0.653125714	0.510434959	0.385748623	0.722316298	0.405090174	0.323931638	0.296045355	0.180938172	0.319749196	0.161134469	0.988500301	0.990008797	0.988987699	0.993943204	0.995143099	0.990093197	0.993567596	0.9981283	1
EFP2	0.457959768	0	0.493463838	0.2157024	0.449950388	0.583176729	0.4483147	0.45031984	0.467702271	0.542345308	0.559291687	0.5083104	0.986876703	0.984448706	0.983709313	0.993817806	0.994811499	0.970761401	0.992605895	0.9982471	1
EFP3	0.653125714	0.493463838	0	0.475747031	0.598701234	0.630376144	0.632684753	0.650341809	0.622120824	0.661588071	0.720079639	0.647852362	0.986433703	0.983941206	0.983215913	0.993665206	0.994527899	0.969886103	0.992258395	0.998053	1
EFP4	0.510434959	0.2157024	0.475747031	0	0.413978282	0.532230731	0.4712749	0.476662041	0.470520967	0.531448806	0.573319278	0.5205108	0.986868603	0.984440606	0.983701213	0.993843406	0.994731599	0.970391603	0.992539695	0.998179	1
EK1	0.385748623	0.449950388	0.598701234	0.413978282	0	0.559747902	0.244450193	0.278819489	0.349178125	0.369494649	0.398716827	0.339097742	0.991439401	0.992826601	0.991365201	0.995064105	0.996465	0.994147999	0.994199499	0.9989103	1
EK2	0.722316298	0.583176729	0.630376144	0.532230731	0.559747902	0	0.435244024	0.545335993	0.694137605	0.731933527	0.716427804	0.696864523	0.9977747	0.9996152	0.998341501	0.997237902	0.9996152	0.9996152	0.9996152	0.9996152	1
EK3	0.405090174	0.4483147	0.632684753	0.4712749	0.244450193	0.435244024	0	0.293665151	0.418630687	0.423639608	0.43352648	0.3971569	0.9981595	1	0.998726301	0.997622702	1	1	1	0.9998812	1
EK4	0.323931638	0.45031984	0.650341809	0.476662041	0.278819489	0.545335993	0.293665151	0	0.280876126	0.320701658	0.320800844	0.278113461	0.9981595	1	0.998722701	0.997622702	1	1	1	1	1
EHH1	0.296045355	0.467702271	0.622120824	0.470520967	0.349178125	0.694137605	0.418630687	0.280876126	0	0.24085206	0.286390893	0.263417862	0.981990302	0.979310105	0.978797012	0.990971909	0.994545099	0.970402697	0.992034094	0.9981103	0.978373595
EHH2	0.180938172	0.542345308	0.661588071	0.531448806	0.369494649	0.731933527	0.423639608	0.320701658	0.24085206	0	0.239335722	0.105987881	0.9970262	0.9988638	0.997592401	0.996486502	0.9989665	0.9989665	0.9989268	0.9989999	1
EHH3	0.319749196	0.559291687	0.720079639	0.573319278	0.398716827	0.716427804	0.43352648	0.320800844	0.286390893	0.239335722	0	0.289859809	0.9963707	0.9988981	0.9969333	0.996832702	0.9986575	0.998218	0.9985298	0.9997148	1
EHH4	0.161134469	0.5083104	0.647852362	0.5205108	0.339097742	0.696864523	0.3971569	0.278113461	0.263417862	0.105987881	0.289859809	0	0.9967438	0.9985814	0.997310001	0.996287303	0.9987881	0.9986185	0.9987469	0.9990678	1
BM1	0.988500301	0.986876703	0.986433703	0.986868603	0.991439401	0.9977747	0.9981595	0.9981595	0.981990302	0.9970262	0.9963707	0.9967438	0	0.48637164	0.323888263	0.478810715	0.9926946	0.982186303	0.984550696	0.988904401	1
BM2	0.990008797	0.984448706	0.983941206	0.984440606	0.992826601	0.9996152	1	1	0.979310105	0.9988638	0.9988981	0.9985814	0.48637164	0	0.542311994	0.65582497	0.992797601	0.982797306	0.987525095	0.992823501	1
BM3	0.988987699	0.983709313	0.983215913	0.983701213	0.991365201	0.998341501	0.998726301	0.998722701	0.978797012	0.997592401	0.9969333	0.997310001	0.323888263	0.542311994	0	0.458265692	0.993127701	0.978450411	0.983910694	0.990776305	1
BM4	0.993943204	0.993817806	0.993665206	0.993843406	0.995064105	0.997237902	0.997622702	0.997622702	0.990971909	0.996486502	0.996832702	0.996287303	0.478810715	0.65582497	0.458265692	0	0.995180104	0.991703607	0.989860802	0.988492206	1
GS1	0.995143099	0.994811499	0.994527899	0.994731599	0.996465	0.9996152	1	1	0.994545099	0.9989665	0.9986575	0.9987881	0.9926946	0.992797601	0.993127701	0.995180104	0	0.844620803	0.836796426	0.806466869	1
GS2	0.990093197	0.970761401	0.969886103	0.970391603	0.994147999	0.9996152	1	1	0.970402697	0.9989665	0.998218	0.9986185	0.982186303	0.982797306	0.978450411	0.991703607	0.844620803	0	0.740020899	0.708375786	1
GS3	0.993567596	0.992605895	0.992258395	0.992539695	0.994199499	0.9996152	1	1	0.992034094	0.9989268	0.9985298	0.9987469	0.984550696	0.987525095	0.983910694	0.989860802	0.836796426	0.740020899	0	0.451160157	1
GS4	0.9981283	0.9982471	0.998053	0.998179	0.9989103	0.9996152	0.9998812	1	0.9981103	0.9989999	0.9997148	0.9990678	0.988904401	0.992823501	0.990776305	0.988492206	0.806466869	0.708375786	0.451160157	0	1
GN1	1	1	1	1	1	1	1	1	0.978373595	1	1	1	1	1	1	1	1	1	1	1	0
