clade_name	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
Arthrobacter	1.02315	4.2799	8.06325	6.70091	0.24319	0.03848	0.0	0.0	5.04054	0.10335	0.02632	0.09409	11.91972	22.80007	10.70084	2.97394	0.54538	3.02696	0.79508	0.18425	0.0
GGB35775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.18981	5.0376	10.63237	4.55817	0.0	0.0	0.0	0.0	0.0
GGB53080	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25037	3.95658	1.88665	1.66823	0.0	0.0	0.01347	0.09695	0.0
GGB81963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14955	1.10179	1.53288	2.97221	0.0	0.0	0.0	0.0	0.0
GGB74363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.71777	2.49359	2.56429	1.10174	0.0	0.0	0.0	0.0	0.0
GGB81852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.70896	0.0	2.98947	2.8605	0.0	0.0	0.0	0.0	0.0
GGB141963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.63505	0.00014	2.38668	2.06586	0.0	0.0	0.0	0.0	0.0
GGB58277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10137	0.55461	1.01562	0.99781	0.0	0.00416	0.0672	0.05722	0.0
GGB50466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07578	0.09942	1.66316	0.15782	2.49693	0.0	0.0	0.0	0.0
GGB82872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66623	0.27178	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB82828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.439	0.3529	0.56958	0.28528	0.0	0.0	0.0	0.0	0.0
GGB81882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43454	0.09539	1.02658	0.0372	0.0	0.0	0.0	0.0	0.0
GGB81877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32306	0.0762	1.07498	0.77153	0.0	0.0	0.0	0.0	0.0
GGB141397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.30134	0.09398	0.11035	1.6306	0.0	0.0	0.0	0.0	0.0
GGB56321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2844	1.09292	0.60448	1.47316	0.0	0.0	0.0	0.0	0.0
GGB24202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27383	2.03243	0.89984	0.07548	0.0	0.0	0.0	0.0	0.0
GGB81660	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27136	0.67715	0.36492	0.74256	0.0	0.0	0.0	0.0	0.0
GGB81851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26243	0.01865	2.10656	0.95803	0.0	0.0	0.0	0.0	0.0
GGB37155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23255	0.1564	1.59076	1.2532	0.0	0.0	0.0	0.0	0.0
GGB81952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98109	3.39889	2.50184	1.70719	0.0	0.0	0.0	0.0	0.0
GGB82253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97172	0.24801	0.50441	0.50171	0.0	0.0	0.0	0.0	0.0
GGB50360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96932	0.29802	0.98445	1.82943	0.0	0.0	0.0	0.0	0.0
GGB84626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92424	0.35087	0.33183	0.82494	0.0	0.0	0.0	0.0	0.0
GGB50303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91345	1.59056	0.60452	0.07601	0.0	0.0	0.0	0.0	0.0
GGB39511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91013	1.55443	0.31543	0.3108	0.0	0.0	0.0	0.0	0.0
GGB68817	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89631	1.11828	2.36376	0.2094	0.00144	0.00155	0.00047	0.0	0.0
GGB24796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85389	1.01722	1.71328	0.99413	0.0	0.0	0.0	0.0	0.0
GGB61862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85256	0.11941	1.55745	1.64013	0.0	0.28647	0.00655	0.06222	0.0
GGB81950	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85019	0.91536	0.10673	0.08703	0.0	0.0	0.0	0.0	0.0
GGB84424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76672	0.09141	0.67913	1.89782	0.0	0.0	0.0	0.0	0.0
GGB82225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74326	0.64798	0.30335	0.07746	0.0	0.0	0.0	0.0	0.0
GGB143176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73074	0.05005	0.67709	0.0479	0.0	0.0	0.0	0.0	0.0
GGB61640	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69815	0.4038	0.51621	0.31989	0.0	0.0	0.0	0.0	0.0
GGB81705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69685	1.10575	0.5566	0.68678	0.0	0.0	0.0	0.0	0.0
GGB70902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6954	0.29548	0.39515	1.06075	0.24213	0.30275	1.73001	1.20625	0.0
GGB81693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66884	0.82457	0.28686	0.24239	0.0	0.0	0.0	0.0	0.0
GGB81960	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65425	0.0	0.611	0.17223	0.0	0.0	0.0	0.0	0.0
GGB74269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64792	0.5245	0.57888	0.71684	0.0	0.0	0.0	0.0	0.0
GGB82821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64019	0.08678	0.32015	0.50469	0.0	0.0	0.0	0.0	0.0
GGB50437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62872	0.00552	1.05671	0.38026	0.0	0.0	0.0	0.0	0.0
GGB81608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62186	1.52479	0.65238	2.13463	0.0	0.0	0.0	0.0	0.0
GGB81894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60122	0.06948	0.06606	0.01443	0.0	0.0	0.0	0.0	0.0
GGB81843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59847	0.69404	1.07402	4.4727	0.0	0.0	0.0	0.0	0.0
GGB81668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58075	0.65429	0.0	0.0011	0.0	0.0	0.0	0.0	0.0
GGB82269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56646	0.06463	0.24673	0.52459	0.0	0.0	0.0	0.0	0.0
GGB83343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55057	0.58392	0.02577	0.08109	0.0	0.0	0.0	0.0	0.0
GGB82863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54658	0.14846	0.10471	0.07425	0.0	0.0	0.0	0.0	0.0
GGB81846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54283	0.01519	0.41487	0.41129	0.0	0.0	0.0	0.0	0.0
GGB84425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53433	0.0256	0.33015	1.05522	0.0	0.0	0.0	0.0	0.0
GGB82250	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53059	0.01126	0.16618	0.10532	0.0	0.0	0.0	0.0	0.0
GGB81965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52657	0.79115	0.32474	0.62828	0.0	0.0	0.0	0.0	0.0
GGB34404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52381	0.12831	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GGB81717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51928	0.47697	0.3484	0.4523	0.0	0.0	0.0	0.0	0.0
GGB58482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51127	0.28953	0.20338	0.2357	0.0	0.0	0.0	0.0	0.0
GGB112676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.50295	0.11375	0.24123	5.29544	0.0	0.0	0.0	0.0	0.0
GGB66982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48523	0.19919	0.57694	1.77489	0.0	0.0	0.0	0.0	0.0
