clade_name	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
OFGB37155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.7362	8.33238	28.08711	26.44959	11.55859	10.40032	22.54953	15.30699	0.0
OFGB50466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.02396	8.15997	10.79537	10.92548	2.49693	0.0	0.0	0.0	0.0
Micrococcales	1.02315	4.28675	8.06325	6.73168	0.24319	0.03848	0.0	0.0	5.09412	0.10335	0.05592	0.09409	12.06825	22.94757	10.94365	3.05486	0.54994	3.05881	0.83245	0.19321	0.00642
OFGB41450	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.10919	10.27277	8.07509	13.87388	6.52373	4.60247	11.0623	4.59693	0.0
OFGB24796	0.318	4.58128	1.86606	5.21218	2.72865	15.17036	1.43884	5.75639	3.84852	0.28727	0.39065	1.80999	5.95722	6.84811	7.79357	4.12105	5.43953	0.81955	0.28092	0.2194	0.0
OFGB50354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9807	8.30217	3.79087	2.99215	18.6287	16.02996	4.08268	10.43502	0.0
OFGB52905	0.64383	2.0547	2.02143	4.5171	3.93336	7.31064	3.23149	1.79464	0.59894	0.53357	0.56459	0.90401	3.68303	0.99195	1.81166	1.64549	0.0	0.0	0.0	0.0	0.0
OFGB42745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.49137	0.49407	0.11035	1.6306	0.0	0.0	0.0	0.0	0.0
OFGB30545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10137	0.55461	1.01562	0.99781	0.00322	0.00946	0.0672	0.08561	0.0
OFGB39511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55805	2.07893	0.89431	1.02764	0.0	0.0	0.0	0.0	0.0
