clade_name	EFP1	EFP2	EFP3	EFP4	EK1	EK2	EK3	EK4	EHH1	EHH2	EHH3	EHH4	BM1	BM2	BM3	BM4	GS1	GS2	GS3	GS4	GN1
Arthrobacter_gengyunqii	0.00327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.57188	9.36324	4.35663	1.24999	0.0	0.0	0.0	0.0	0.0
Arthrobacter_sunyaminii	0.02289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.72271	9.17401	3.74489	1.06067	0.0	0.0	0.0	0.0	0.0
GGB35775_SGB48092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.23792	2.33569	6.12541	1.67947	0.0	0.0	0.0	0.0	0.0
GGB81852_SGB112496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.70896	0.0	2.98947	2.8605	0.0	0.0	0.0	0.0	0.0
GGB81963_SGB113206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7035	0.16607	1.17002	1.59575	0.0	0.0	0.0	0.0	0.0
GGB141963_SGB113201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.63505	0.00014	2.38668	2.06586	0.0	0.0	0.0	0.0	0.0
GGB53080_SGB114531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39541	2.16282	0.46322	0.87003	0.0	0.0	0.0	0.0	0.0
Arthrobacter_jiangjiafuii	0.0	0.0	0.0056	0.0	0.0	0.0	0.0	0.0	0.44076	0.0	0.0	0.0	2.37401	2.45886	1.00764	0.27363	0.0027	0.01882	0.01015	0.00072	0.0
GGB35775_SGB112530	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.31298	0.32982	2.0155	0.0	0.0	0.0	0.0	0.0	0.0
GGB58277_SGB120052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.10137	0.55461	1.01562	0.99781	0.0	0.0	0.0	0.0	0.0
